tadig,country,network,access_fee_eur,data_per_mb,is_prohibited,no_roaming,data_not_launched,no_resell,comments
ISRPL,Israel,Pelephone,0.1,0.018,False,False,False,False,Access fee
ITAH3,Italy,Wind Tre,0.17,0.006,False,False,False,False,Access fee
ITASI,Italy,Telecom Italia,0.05,0.01,False,False,False,False,Access fee
ITAWI,Italy,Wind Tre,0.17,0.006,False,False,False,False,Access fee
ITAFM,Italy,Iliad Italy,0.0,0.06,False,False,False,False,
ITAOM,Italy,Vodafone,0.0,0.01,False,False,False,False,
JAMDC,Jamaica,Digicel,0.05,0.1,False,False,False,False,Access fee
JAMCW,Jamaica,Cable and Wireless Jamaica Ltd,0.0,0.1,False,False,False,False,
JPNJP,Japan,Softbank,0.15,0.06,False,False,False,False,Access fee
JPNDO,Japan,DoCoMo,0.0,1.0,False,True,False,False,no permanent roaming
GBRGT,Jersey,Sure,0.0,0.06,False,False,False,False,
GBRJT,Jersey,JT Gsm,0.1,0.02,False,False,False,False,Access fee
JORMC,Jordan,Orange,0.0,20.0,False,False,False,False,
JORUM,Jordan,Umniah Mobile Company,0.0,0.02,False,False,False,False,
JORFL,Jordan,Zain,0.0,0.04,False,False,False,False,
KAZ77,Kazakhstan,Mobile Telecom-Service LLP,0.0,0.01,False,False,False,False,
KAZKZ,Kazakhstan,K'cell,0.0,30.0,False,False,False,False,
KAZKT,Kazakhstan,Beeline,0.045,0.02,False,False,False,False,Access fee
KENKC,Kenya,Airtel,0.0,0.5,False,False,False,False,
KENSA,Kenya,Safaricom,0.0,0.1,False,False,False,False,
KENTK,Kenya,Telkom (Orange),0.0,0.2,False,False,False,False,
KORKF,Korea Republic of,KT,0.3,0.06,False,False,False,False,Access fee
KORSK,Korea Republic of,SK Telecom,0.0,0.06,False,False,False,False,
K0001,Kosovo,IPKO,0.0,0.05,False,False,False,False,
KWTKT,Kuwait,KTC,0.0,0.06,False,False,False,False,
KWTMT,Kuwait,Zain,0.0,0.06,False,False,False,False,
KWTNM,Kuwait,Wataniya Telecom,0.0,0.2,False,False,False,False,
KGZMC,Kyrgyzstan,MegaCom,0.0,0.2,False,False,False,False,
KGZNT,Kyrgyzstan,NURTelecom,0.0,0.06,False,False,False,False,
KGZ01,Kyrgyzstan,Sky Mobile,0.045,0.02,False,False,False,False,Access fee
LAOTL,Lao People's Democratic Republic,BEELINE LAO,0.0,0.06,False,False,False,False,
LAOAS,Lao People's Democratic Republic,Star Telecom,0.0,30.0,True,False,False,False,prohibited network
LVALM,Latvia,LMT Gsm,0.055,0.01,False,False,False,False,Access fee
LVABC,Latvia,Tele2,0.0,0.006,False,False,False,False,
LVABT,Latvia,Bite,0.0,0.01,False,False,False,False,
LBNLC,Lebanon,touch,0.0,1.0,False,False,False,False,
LBNFL,Lebanon,ALFA,0.0,2.0,False,False,False,False,
LSOVL,Lesotho,Vodacom Lesotho (Pty) Ltd,0.0,0.0,False,False,False,False,services not available
LBRLC,Liberia,MTN Liberia,0.0,0.0,False,False,False,False,
LBR07,Liberia,Orange,0.0,30.0,False,False,False,False,
LBY01,Libya,Al Madar Al Jadid,0.0,30.0,False,False,False,False,
LIEMK,Liechtenstein,Telecom Liechtenstein,0.0,0.01,False,False,False,False,
LIEVE,Liechtenstein,Orange,0.0,0.01,False,False,False,False,
LTUOM,Lithuania,Omnitel,0.055,0.01,False,False,False,False,Access fee
LTU03,Lithuania,UAB Tele2,0.0,0.006,False,False,False,False,
LTUMT,Lithuania,Bite Gsm,0.0,0.01,False,False,False,False,
LUXPT,Luxembourg,POST,0.0,0.01,False,False,False,False,
LUXTG,Luxembourg,Tango,0.0,0.01,False,False,False,False,
LUXVM,Luxembourg,Orange,0.022,0.006,False,False,False,False,Access fee
MACCT,Macao,CTM,0.0,0.06,False,False,False,False,
MACHT,Macao,Hutchison Htmcl,0.0,0.2,False,False,False,False,
MKDCC,Macedonia Republic of,ONE DOO Skopje,0.0,0.06,False,False,False,False,
MKDNO,Macedonia Republic of,Vip Operator,0.0,0.06,False,False,False,False,
MKDMM,Macedonia Republic of,MobiMak,0.0,0.06,False,False,False,False,
MDGCO,Madagascar,Airtel,0.0,0.5,False,False,False,False,
MDGTM,Madagascar,TELMA,0.0,30.0,False,False,False,False,
MWICP,Malawi,Callpoint900,0.0,30.0,False,False,False,False,
MWICT,Malawi,Airtel,0.0,0.5,False,False,False,False,
MYSBC,Malaysia,Maxis,0.0,0.06,False,False,False,False,
MYSCC,Malaysia,Celcom,0.0,0.06,False,False,False,False,
MYSMT,Malaysia,Digi Telecom,0.0,0.06,False,False,False,False,
MDV01,Maldives,DhiMobile,0.0,30.0,False,False,False,False,
MDVWM,Maldives,Ooredo (Wataniya),0.0,30.0,False,False,False,False,
MLI02,Mali,Orange Mali SA,0.0,1.0,False,False,False,False,
MLTGO,Malta,Go Mobile,0.0,0.01,False,False,False,False,
MLTMM,Malta,Melita Mobile Ltd.,0.0,0.01,False,False,False,False,
MLTTL,Malta,Vodafone Malta,0.0,0.006,False,False,False,False,
GLP01,Martinique,Orange,0.0,0.01,False,False,False,False,
MRTCH,Mauritania,Chinguitel,0.0,0.5,False,False,False,False,
MRTMM,Mauritania,Mauritel Mobiles,0.0,0.5,True,False,False,False,prohibited network
MRTMT,Mauritania,Mattel,0.0,0.5,False,False,False,False,
MUSCP,Mauritius,Orange Mauritius,0.0,0.5,False,False,False,False,
MUSEM,Mauritius,Emtel,0.0,1.0,False,False,False,False,
MUSMT,Mauritius,Mahanagar Telephone MTML,0.0,1.0,False,False,False,False,
22222,Mayotte,22222,0.0,0.0,False,False,False,False,
MEXNC,Mexico,Nextel - Mexico,0.0,1.0,False,False,True,False,data not launched
MEXIU,Mexico,Iusacell,0.0,1.0,False,True,False,False,no permanent roaming
MEXTL,Mexico,Telcel,0.0,0.02,False,True,False,True,"No resell on domestic market, no permanent roaming"
MEXMS,Mexico,Telefonica Moviles Mexico,0.13,0.04,False,False,False,False,Access fee
MDAUN,Moldova Republic of,Moldtelecom,0.0,0.06,False,False,False,False,
MDAVX,Moldova Republic of,ORANGE,0.0,0.02,False,False,False,False,
MDAMC,Moldova Republic of,Moldcell,0.0,0.06,False,False,False,False,
MCOM2,Monaco,Monaco Telecom,0.0,0.25,False,False,False,False,
MNGMN,Mongolia,UNTLMN,0.0,0.06,False,False,False,False,
MNGMC,Mongolia,Mobicom,0.0,0.1,False,False,False,False,
MNETM,Montenegro,T-mobile,0.0,0.0,False,False,False,False,
MNEPM,Montenegro,Telenor,0.0,0.006,False,False,False,False,
MNEMT,Montenegro,M.tel,0.0,0.02,False,False,False,False,
MSRCW,Montserrat,Cable & Wireless,0.0,0.1,False,False,False,False,
MARM1,Morocco,IAM,0.0,0.05,False,False,False,False,
MARM3,Morocco,Wana,0.0,30.0,False,False,False,False,
MARMT,Morocco,Orange Moroc (MediTel),0.0,0.05,False,False,False,False,
MOZ01,Mozambique,Mcel,0.0,0.2,False,False,False,False,
MOZVG,Mozambique,Movitel,0.0,30.0,True,False,False,False,prohibited network
MMROM,Myanmar,Ooreedo,0.0,0.5,False,False,False,False,
MMRPT,Myanmar,Myanmar Posts and Telecommunications,0.0,0.03,False,False,False,False,
MMRTN,Myanmar,Telenor Myanmar,0.0,0.1,False,False,False,False,
NAM01,Namibia,MTC,0.0,0.0,False,False,True,False,data not launched
NAM03,Namibia,tn mobile,0.0,6.0,False,False,False,False,
NPLNM,Nepal,Nepal Telecommunications,0.0,0.0,False,False,False,False,
NPLM2,Nepal,Ncell,0.0,1.0,False,False,False,False,
NLDPT,Netherlands,KPN Telecom,0.11,0.0045,False,False,False,False,Access fee
NLDPN,Netherlands,T-Mobile NL,0.0,30.0,True,False,False,False,prohibited network
NLDLT,Netherlands,Vodafone,0.0,0.005,False,False,False,False,
NCLPT,New Caledonia,Mobilis,0.0,0.0,False,False,False,False,
NZLBS,New Zealand,Vodafone New Zealand Ltd,0.0,0.06,False,False,False,False,
NZLNH,New Zealand,NZC,0.0,0.06,False,False,False,False,
NZLTM,New Zealand,Telecom Spark NZ,0.2,0.02,False,False,False,False,Access fee
NICMS,Nicaragua,Telefonia Celular de Nicaragua,0.0,0.06,False,False,False,False,
NICEN,Nicaragua,Enitel,0.0,0.02,False,True,False,True,"No resell on domestic market, no permanent roaming"
NERTL,Niger,Telecel Niger S.A.,0.0,0.0,False,False,True,False,data not launched
NERCT,Niger,Airtel,0.0,0.5,False,False,False,False,
NGAEM,Nigeria,Etisalat,0.0,0.1,False,False,False,False,
NGAET,Nigeria,Airtel Networks Limited,0.0,0.4,False,False,False,False,
NGAMN,Nigeria,MTN-NG,0.0,0.02,False,False,False,False,
NORNC,Norway,NetCom,0.055,0.01,False,False,False,False,Access fee
NORIC,Norway,Ice,0.0,0.0,False,False,False,False,
NORTM,Norway,Telenor,0.0,0.006,False,False,False,False,
OMNGT,Oman,OMAN MOBILE,0.0,0.03,False,False,False,False,
OMNNT,Oman,Ooredoo,0.0,0.05,False,False,False,False,
NORAM,Over the air,AeroMobile,0.0,0.0,False,False,False,False,
ARETH,Over the air,Thuraya,0.0,0.0,False,False,True,False,data not launched
CHEOA,Over the air,OnAir,0.0,0.0,False,False,False,False,
MLTMA,Over the sea,Vodafone Malta Maritime,0.0,0.0,False,False,False,False,
NORMC,Over the sea,MCP,0.0,0.0,False,False,False,False,
BMU01,Over the sea,Telecom,0.0,10.0,False,False,False,False,
AAMOM,Over the sea,Monaco maritime Services,0.0,0.0,False,False,False,False,
ITAGT,Over the sea,Telecom Italia,0.0,0.0,False,False,False,False,
PAKMK,Pakistan,Mobilink,0.045,0.02,False,False,False,False,Access fee
PAKTP,Pakistan,Telenor Pakistan,0.0,0.0,False,False,False,False,services not available
PAKPL,Pakistan,Paktel Limited,0.0,0.0,False,False,True,False,data not launched
PAKUF,Pakistan,Ufone,0.0,0.0,False,False,False,False,
PSEJE,Palestine,Jawwal (Paltel),0.0,0.054,False,False,False,False,
PSEWM,Palestine,Wataniya Palestine Mobile,0.0,0.09,False,False,False,False,
PANMS,Panama,Movistar,0.13,0.06,False,False,False,False,Access fee 
PANDC,Panama,Digicel,0.05,0.1,False,False,False,False,Access fee
PANCW,Panama,Cable & Wireless Panama,0.0,0.5,False,False,False,False,
PANCL,Panama,Claro,0.0,0.06,False,True,False,True,"No resell on domestic market, no permanent roaming"
PNGDP,Papua New Guinea,Digicel PNG,0.0,0.5,False,False,False,False,
PRYHT,Paraguay,Claro,0.0,0.06,False,True,False,True,"No resell on domestic market, no permanent roaming"
PRYVX,Paraguay,Vox,0.0,0.0,False,False,True,False,data not launched
PRYTC,Paraguay,Telecel (Millicom),0.06,0.012,False,False,False,False,Access fee
PERMO,Peru,Telefonica,0.13,0.06,False,False,False,False,Access fee
PERTM,Peru,Claro Peru,0.0,0.06,False,True,False,True,"No resell on domestic market, no permanent roaming"
PERN3,Peru,Entel,0.0,0.0,False,False,False,False,
PHLGT,Philippines,Globe Telecom,0.0,0.1,False,False,False,False,
PHLSR,Philippines,Smart,0.0,0.06,False,False,False,False,
POL02,Poland,T-Mobile,0.0,30.0,True,False,False,False,prohibited network
POL03,Poland,Orange,0.022,0.01,False,False,False,False,Access fee
POLKM,Poland,Plus Gsm,0.0,0.006,False,False,False,False,
POLP4,Poland,P4,0.0,0.01,False,False,False,False,
PRTOP,Portugal,Optimus,0.0,0.01,False,False,False,False,
PRTTL,Portugal,Vodafone,0.0,0.006,False,False,False,False,
PRTTM,Portugal,TMN,0.0,0.01,False,False,False,False,
PRICL,Puerto Rico,Puerto Rico Tele Company CLARO,0.0,0.1,False,True,False,True,"No resell on domestic market, no permanent roaming"
QATB1,Qatar,Vodafone,0.0,0.06,False,False,False,False,
QATQT,Qatar,Ooredoo,0.0,0.06,False,False,False,False,
FRARE,Reunion,SFR,0.0,0.01,False,False,False,False,
ROMCS,Romania,Cosmote,0.0,30.0,True,False,False,False,prohibited network
ROM05,Romania,RCS-RDS Digimobil,0.0,0.01,False,False,False,False,
ROMMF,Romania,Vodafone,0.0,0.01,False,False,False,False,
ROMMR,Romania,Orange Romania,0.022,0.006,False,False,False,False,Access fee
RUS01,Russia,MTS,0.0,0.06,False,False,False,False,
RUST2,Russia,Tele2,0.0,0.02,False,False,False,False,
RUSEC,Russia,MOTIV,0.0,0.0,False,False,False,False,
RUSBD,Russia,BeeLine,0.045,0.02,False,False,False,False,Access fee
RUSNW,Russia,MegaFon,0.0,30.0,True,False,False,False,prohibited network
RWAAR,Rwanda,Airtel Rwanda Limited,0.0,0.5,False,False,False,False,
RWAMN,Rwanda,Rwandacell,0.0,0.1,False,False,False,False,
RWATG,Rwanda,Tigo,0.0,0.4,False,False,False,False,
33333,Saint Barthelemy,333333,0.0,0.0,False,False,False,False,
KNACW,Saint Kitts and Nevis,Cable & Wireless,0.0,0.1,False,False,False,False,
LCACW,Saint Lucia,Cable & Wireless,0.0,0.1,False,False,False,False,
44444,Saint Martin,444444,0.0,0.0,False,False,False,False,
VCTCW,Saint Vincent and the Grenadines,Cable & Wireless,0.0,0.1,False,False,False,False,
WSMDP,Samoa,Digicel,0.0,0.0,False,False,False,False,services not available
STPST,Sao Tome and Principe,CST,0.0,30.0,False,False,False,False,
STPUT,Sao Tome and Principe,Unitel,0.0,6.0,False,False,False,False,
SAUET,Saudi Arabia,Mobily,0.0,0.075,False,False,False,False,
SAUZN,Saudi Arabia,Zain MTC,0.0,0.075,False,False,False,False,
SAUAJ,Saudi Arabia,Al Jawwal,0.0,30.0,True,False,False,False,prohibited network
SENSG,Senegal,Sentel GSM,0.0,0.1,False,False,False,False,
YUGTS,Serbia Republic of,Telekom Srbija (m:ts),0.0,0.0,False,False,False,False,
SRBNO,Serbia Republic of,Vip,0.0,0.06,False,False,False,False,
YUGMT,Serbia Republic of,Telenor,0.0,0.006,False,False,False,False,
SYCAT,Seychelles,Airtel,0.0,0.0,False,False,False,False,
SYCCW,Seychelles,Cable & Wireless (Seychelles),0.0,0.0,False,False,False,False,
SLEAC,Sierra Leone,AFR LINTEL,0.0,0.0,False,False,False,False,
SLECT,Sierra Leone,Orange,0.0,0.0,False,False,False,False,
SGPM1,Singapore,M1,0.0,0.06,False,False,False,False,
SGPSH,Singapore,StarHub,0.0,0.06,False,False,False,False,
SGPST,Singapore,SingTel Mobile,0.0,0.06,False,False,False,False,
ANTTC,Sint Maarten,TelCell,0.0,1.0,False,False,False,False,
SVKGT,Slovakia,Orange,0.022,0.006,False,False,False,False,Access fee
SVKO2,Slovakia,"Telefonica Slovakia, s.r.o",0.0,0.01,False,False,False,False,
SVKET,Slovakia,Telekom,0.0,30.0,True,False,False,False,prohibited network
SVNMT,Slovenia,Mobitel,0.0,0.006,False,False,False,False,
SVNSM,Slovenia,SI.Mobil,0.0,0.01,False,False,False,False,
SVNVG,Slovenia,Telemach Mobil,0.0,0.01,False,False,False,False,
SOM01,Somalia,Telesom,0.0,0.0,False,False,True,False,data not launched
SOMGT,Somalia,Golis Telecom,0.0,0.0,False,False,True,False,data not launched
ZAFMN,South Africa,MTN,0.0,0.02,False,False,False,False,
ZAFVC,South Africa,Vodafone,0.0,0.03,False,False,False,False,
ZAFCC,South Africa,Cell C,0.0,0.0,False,False,False,False,
SSDMN,South Sudan,MTN,0.0,0.02,False,False,False,False,
ESPAT,Spain,Vodafone,0.0,0.01,False,False,False,False,
ESPRT,Spain,Orange,0.022,0.006,False,False,False,False,Access fee
ESPTE,Spain,Telefonica,0.007,0.01,False,False,False,False,Access fee
ESPXF,Spain,MasMovil,0.0,0.01,False,False,False,False,
LKA71,Sri Lanka,Mobitel,0.0,0.06,False,False,False,False,
LKACT,Sri Lanka,Etisalat,0.0,0.2,False,False,False,False,
LKAHT,Sri Lanka,Hutchison,0.0,0.2,False,False,False,False,
LKADG,Sri Lanka,Dialog Gsm,0.2,0.02,False,False,False,False,Access fee
SDNBT,Sudan,MTN Sudan,0.0,0.1,False,False,False,False,
SUDMO,Sudan,zain SD,0.0,0.0,False,False,False,False,
SURDC,Suriname,Digicel,0.05,0.1,False,False,False,False,Access fee
SURTG,Suriname,Telesur,0.0,0.0,False,False,False,False,
SWEIQ,Sweden,Sweden,0.0,0.0,False,False,False,False,direct roaming
CHEOR,Switzerland,Salt Mobile (Orange),0.0,0.06,False,False,False,False,
CHEDX,Switzerland,Sunrise,0.055,0.02,False,False,False,False,Access fee
CHEC1,Switzerland,"Swisscom, Swissom FL",0.0,0.02,False,False,False,False,
SYR01,Syrian Arab Republic,Syriatel,0.0,0.0,False,False,False,False,services not available
TWNTG,Taiwan,Taiwan Star Telecom,0.0,0.0,False,False,False,False,
TWNFE,Taiwan,Far EasTone,0.0,0.06,False,False,False,False,
TWNLD,Taiwan,Chunghwa Telecom,0.0,0.06,False,False,False,False,
TWNPC,Taiwan,Taiwan Mobile,0.0,0.06,False,False,False,False,
TJK91,Tajikistan,Tacom,0.0,0.06,False,False,False,False,
TJKBM,Tajikistan,Babilon-Mobile,0.0,0.1,False,False,False,False,
TJKIT,Tajikistan,Indigo Gsm,0.0,0.06,False,False,False,False,
TZACT,Tanzania United Republic of,Airtel,0.0,0.45,False,False,False,False,
TZAMB,Tanzania United Republic of,MIC Tanzania,0.0,0.09,False,False,False,False,
TZAYA,Tanzania United Republic of,Smart,0.0,0.45,False,False,False,False,
TZAVC,Tanzania United Republic of,Vodacom,0.0,0.0,False,False,False,False,
THACA,Thailand,Real Future,0.0,0.05,False,False,False,False,
THACT,Thailand,Real Future,0.0,0.05,False,False,False,False,
THADT,Thailand,dtac,0.0,0.05,False,False,False,False,
THAWN,Thailand,TH AIS,0.0,0.05,False,False,False,False,
THAWP,Thailand,DTAC,0.0,0.05,False,False,False,False,
TGOTC,Togo,Togo Cellulaire,0.0,0.5,False,False,False,False,
TGOTL,Togo,Moov (Telecel),0.0,0.0,True,False,False,False,prohibited network
TONDP,Tonga,Digicel Tonga,0.0,0.5,False,False,False,False,
TTODL,Trinidad and Tobago,Digicel,0.05,0.1,False,False,False,False,Access fee
TTO12,Trinidad and Tobago,TSTT,0.0,0.0,False,False,False,False,
TUNOR,Tunisia,Orange,0.0,0.06,False,False,False,False,
TUNTA,Tunisia,Ooredoo,0.0,0.05,False,False,False,False,
TUNTT,Tunisia,Tunicell,0.0,0.0,False,False,False,False,
TURIS,Turkey,AVEA,0.0,0.06,False,True,False,False,no permanent roaming
TURTC,Turkey,Turkcell,0.0,0.06,False,True,False,False,no permanent roaming
TURTS,Turkey,Vodafone,0.0,0.06,False,True,False,False,no permanent roaming
TKMAA,Turkmenistan,TM Cell,0.0,0.0,False,False,False,False,services not available
TCACW,Turks and Caicos Islands,Cable & Wireless,0.0,0.1,False,False,False,False,
UGACE,Uganda,Airtel Uganda,0.0,0.5,False,False,False,False,
UGAMN,Uganda,MTN,0.0,0.02,False,False,False,False,
UGASU,Uganda,Smart,0.0,0.2,False,False,False,False,
UGATL,Uganda,UTL,0.0,0.0,False,False,True,False,data not launched
UKRAS,Ukraine,Life:-),0.0,0.02,False,False,False,False,
UKRUM,Ukraine,Vodafone (MTS),0.0,0.1,False,False,False,False,
UKRKS,Ukraine,Kyivstar,0.045,0.02,False,False,False,False,Access fee
AREDU,United Arab Emirates,DU,0.0,30.0,False,True,False,False,no permanent roaming
ARETC,United Arab Emirates,Etisalat,0.0,0.05,False,True,False,False,no permanent roaming
GBRCN,United Kingdom,O2 UK,0.007,0.01,False,False,False,False,Access fee
GBRVF,United Kingdom,Vodafone,0.0,0.01,False,False,False,False,
GBRHU,United Kingdom,Hutchison 3G,0.17,0.006,False,False,False,False,Access fee
GBRME,United Kingdom,T-Mobile,0.15,0.01,False,False,False,False,Access fee
GBROR,United Kingdom,Orange,0.15,0.01,False,False,False,False,Access fee
USAVZ,United States,Verizon Wireless,0.0,0.0,False,False,False,False,Network blocked
USATL,United States,Telecom North America Mobile Inc.,0.0,0.0,False,False,True,False,data not launched
USACG,United States,AT&T,0.0,0.0045,False,False,False,False,Separate addendum - Permitted Resellers list
USAW6,United States,T-Mobile Denver,0.12,0.0045,False,False,False,False,Separate addendum - all IoT deployments should be agreed by TMUS
URYAM,Uruguay,Claro (CTI),0.0,0.1,False,True,False,True,"No resell on domestic market, no permanent roaming"
URYTM,Uruguay,Movistar,0.0,0.0,False,False,False,False,
UZB00,Uzbekistan,UzMobile,0.0,0.0,False,False,False,False,
UZB05,Uzbekistan,Ucell,0.0,0.0,False,False,False,False,
UZB07,Uzbekistan,UMS LLC,0.0,0.0,False,False,False,False,
UZBDU,Uzbekistan,Beeline Uz,0.045,0.02,False,False,False,False,Access fee
VUTDP,Vanuatu,Digicel Vanuatu,0.0,0.5,False,False,False,False,
VENMS,Venezuela,Movistar,0.0,0.2,False,False,False,False,
VENMV,Venezuela,Movilnet,0.0,0.0,False,False,False,False,
VNMBL,Vietnam,Beeline Vietnam,0.0,0.1,False,False,False,False,
VNMMO,Vietnam,Vms Mobifon,0.0,0.1,False,False,False,False,
VNMVI,Vietnam,Vinaphone,0.0,0.1,False,False,False,False,
VNMVT,Vietnam,Viettel,0.0,0.1,False,False,False,False,
YEMSP,Yemen,Spacetel,0.0,0.05,False,False,False,False,
YEMSA,Yemen,SabaFon,0.0,0.0,False,False,False,False,
YEMYY,Yemen,Y,0.0,0.0,False,False,True,False,data not launched
ZMB02,Zambia,MTN,0.0,0.02,False,False,False,False,
ZMBCE,Zambia,Airtel,0.0,0.45,False,False,False,False,
ZMBCZ,Zambia,Zamtel,0.0,0.4,False,False,False,False,
ZWEET,Zimbabwe,Econet,0.0,0.0,False,False,True,False,data not launched
ZWEN1,Zimbabwe,NetOne,0.0,1.0,False,False,False,False,
ZWEN3,Zimbabwe,TELECEL,0.0,0.2,False,False,False,False,
