tadig,country,network,access_fee_per_imsi,data_per_mb,is_prohibited,restrictions,original_comments
ISRMS,Israel,Hot Mobile,0,0.0135,False,Access fee,Access fee
ISRCL,Israel,Cellcom,0,30.0,False,,
ISRPL,Israel,Pelephone,0,0.018,False,Access fee,Access fee
ITAH3,Italy,Wind Tre,0,0.006,False,Access fee,Access fee
ITASI,Italy,Telecom Italia,0,0.01,False,Access fee,Access fee
ITAWI,Italy,Wind Tre,0,0.006,False,Access fee,Access fee
ITAFM,Italy,Iliad Italy,0,0.06,False,,
ITAOM,Italy,Vodafone,0,0.01,False,,
JAMDC,Jamaica,Digicel,0,0.1,False,Access fee,Access fee
JAMCW,Jamaica,Cable and Wireless Jamaica Ltd,0,0.1,False,,
JPNJP,Japan,Softbank,0,0.06,False,Access fee,Access fee
JPNDO,Japan,DoCoMo,0,1.0,False,no permanent roaming,no permanent roaming
GBRGT,Jersey,Sure,0,0.06,False,,
GBRJT,Jersey,JT Gsm,0,0.02,False,Access fee,Access fee
JORMC,Jordan,Orange,0,20.0,False,,
JORUM,Jordan,Umniah Mobile Company,0,0.02,False,,
JORFL,Jordan,Zain,0,0.04,False,,
KAZ77,Kazakhstan,Mobile Telecom-Service LLP,0,0.01,False,,
KAZKZ,Kazakhstan,K'cell,0,30.0,False,,
KAZKT,Kazakhstan,Beeline,0,0.02,False,Access fee,Access fee
KENKC,Kenya,Airtel,0,0.5,False,,
KENSA,Kenya,Safaricom,0,0.1,False,,
KENTK,Kenya,Telkom (Orange),0,0.2,False,,
KORKF,Korea Republic of,KT,0,0.06,False,Access fee,Access fee
KORSK,Korea Republic of,SK Telecom,0,0.06,False,,
K0001,Kosovo,IPKO,0,0.05,False,,
KWTKT,Kuwait,KTC,0,0.06,False,,
KWTMT,Kuwait,Zain,0,0.06,False,,
KWTNM,Kuwait,Wataniya Telecom,0,0.2,False,,
KGZMC,Kyrgyzstan,MegaCom,0,0.2,False,,
KGZNT,Kyrgyzstan,NURTelecom,0,0.06,False,,
KGZ01,Kyrgyzstan,Sky Mobile,0,0.02,False,Access fee,Access fee
LAOTL,Lao People's Democratic Republic,BEELINE LAO,0,0.06,False,,
LAOAS,Lao People's Democratic Republic,Star Telecom,0,30.0,True,prohibited network,prohibited network
LVALM,Latvia,LMT Gsm,0,0.01,False,Access fee,Access fee
LVABC,Latvia,Tele2,0,0.006,False,,
LVABT,Latvia,Bite,0,0.01,False,,
LBNLC,Lebanon,touch,0,1.0,False,,
LBNFL,Lebanon,ALFA,0,2.0,False,,
LSOVL,Lesotho,Vodacom Lesotho (Pty) Ltd,0,0.0,False,services not available,services not available
LBRLC,Liberia,MTN Liberia,0,0.0,False,,
LBR07,Liberia,Orange,0,30.0,False,,
LBY01,Libya,Al Madar Al Jadid,0,30.0,False,,
LIEMK,Liechtenstein,Telecom Liechtenstein,0,0.01,False,,
LIEVE,Liechtenstein,Orange,0,0.01,False,,
LTUOM,Lithuania,Omnitel,0,0.01,False,Access fee,Access fee
LTU03,Lithuania,UAB Tele2,0,0.006,False,,
LTUMT,Lithuania,Bite Gsm,0,0.01,False,,
LUXPT,Luxembourg,POST,0,0.01,False,,
LUXTG,Luxembourg,Tango,0,0.01,False,,
LUXVM,Luxembourg,Orange,0,0.006,False,Access fee,Access fee
MACCT,Macao,CTM,0,0.06,False,,
MACHT,Macao,Hutchison Htmcl,0,0.2,False,,
MKDCC,Macedonia Republic of,ONE DOO Skopje,0,0.06,False,,
MKDNO,Macedonia Republic of,Vip Operator,0,0.06,False,,
MKDMM,Macedonia Republic of,MobiMak,0,0.06,False,,
MDGCO,Madagascar,Airtel,0,0.5,False,,
MDGTM,Madagascar,TELMA,0,30.0,False,,
MWICP,Malawi,Callpoint900,0,30.0,False,,
MWICT,Malawi,Airtel,0,0.5,False,,
MYSBC,Malaysia,Maxis,0,0.06,False,,
MYSCC,Malaysia,Celcom,0,0.06,False,,
MYSMT,Malaysia,Digi Telecom,0,0.06,False,,
MDV01,Maldives,DhiMobile,0,30.0,False,,
MDVWM,Maldives,Ooredo (Wataniya),0,30.0,False,,
MLI02,Mali,Orange Mali SA,0,1.0,False,,
MLTGO,Malta,Go Mobile,0,0.01,False,,
MLTMM,Malta,Melita Mobile Ltd.,0,0.01,False,,
MLTTL,Malta,Vodafone Malta,0,0.006,False,,
GLP01,Martinique,Orange,0,0.01,False,,
MRTCH,Mauritania,Chinguitel,0,0.5,False,,
MRTMM,Mauritania,Mauritel Mobiles,0,0.5,True,prohibited network,prohibited network
MRTMT,Mauritania,Mattel,0,0.5,False,,
MUSCP,Mauritius,Orange Mauritius,0,0.5,False,,
MUSEM,Mauritius,Emtel,0,1.0,False,,
MUSMT,Mauritius,Mahanagar Telephone MTML,0,1.0,False,,
22222,Mayotte,22222,0,0.0,False,,
MEXNC,Mexico,Nextel - Mexico,0,1.0,False,data not launched,data not launched
MEXIU,Mexico,Iusacell,0,1.0,False,no permanent roaming,no permanent roaming
MEXTL,Mexico,Telcel,0,0.02,False,"no permanent roaming, no resell on domestic market","No resell on domestic market, no permanent roaming"
MEXMS,Mexico,Telefonica Moviles Mexico,0,0.04,False,Access fee,Access fee
MDAUN,Moldova Republic of,Moldtelecom,0,0.06,False,,
MDAVX,Moldova Republic of,ORANGE,0,0.02,False,,
MDAMC,Moldova Republic of,Moldcell,0,0.06,False,,
MCOM2,Monaco,Monaco Telecom,0,0.25,False,,
MNGMN,Mongolia,UNTLMN,0,0.06,False,,
MNGMC,Mongolia,Mobicom,0,0.1,False,,
MNETM,Montenegro,T-mobile,0,0.0,False,,
MNEPM,Montenegro,Telenor,0,0.006,False,,
MNEMT,Montenegro,M.tel,0,0.02,False,,
MSRCW,Montserrat,Cable & Wireless,0,0.1,False,,
MARM1,Morocco,IAM,0,0.05,False,,
MARM3,Morocco,Wana,0,30.0,False,,
MARMT,Morocco,Orange Moroc (MediTel),0,0.05,False,,
MOZ01,Mozambique,Mcel,0,0.2,False,,
MOZVG,Mozambique,Movitel,0,30.0,True,prohibited network,prohibited network
MMROM,Myanmar,Ooreedo,0,0.5,False,,
MMRPT,Myanmar,Myanmar Posts and Telecommunications,0,0.03,False,,
MMRTN,Myanmar,Telenor Myanmar,0,0.1,False,,
NAM01,Namibia,MTC,0,0.0,False,data not launched,data not launched
NAM03,Namibia,tn mobile,0,6.0,False,,
NPLNM,Nepal,Nepal Telecommunications,0,0.0,False,,
NPLM2,Nepal,Ncell,0,1.0,False,,
NLDPT,Netherlands,KPN Telecom,0,0.0045,False,Access fee,Access fee
NLDPN,Netherlands,T-Mobile NL,0,30.0,True,prohibited network,prohibited network
NLDLT,Netherlands,Vodafone,0,0.005,False,,
NCLPT,New Caledonia,Mobilis,0,0.0,False,,
NZLBS,New Zealand,Vodafone New Zealand Ltd,0,0.06,False,,
NZLNH,New Zealand,NZC,0,0.06,False,,
NZLTM,New Zealand,Telecom Spark NZ,0,0.02,False,Access fee,Access fee
NICMS,Nicaragua,Telefonia Celular de Nicaragua,0,0.06,False,,
NICEN,Nicaragua,Enitel,0,0.02,False,"no permanent roaming, no resell on domestic market","No resell on domestic market, no permanent roaming"
NERTL,Niger,Telecel Niger S.A.,0,0.0,False,data not launched,data not launched
NERCT,Niger,Airtel,0,0.5,False,,
NGAEM,Nigeria,Etisalat,0,0.1,False,,
NGAET,Nigeria,Airtel Networks Limited,0,0.4,False,,
NGAMN,Nigeria,MTN-NG,0,0.02,False,,
NORNC,Norway,NetCom,0,0.01,False,Access fee,Access fee
NORIC,Norway,Ice,0,0.0,False,,
NORTM,Norway,Telenor,0,0.006,False,,
OMNGT,Oman,OMAN MOBILE,0,0.03,False,,
OMNNT,Oman,Ooredoo,0,0.05,False,,
NORAM,Over the air,AeroMobile,0,0.0,False,,
ARETH,Over the air,Thuraya,0,0.0,False,data not launched,data not launched
CHEOA,Over the air,OnAir,0,0.0,False,,
MLTMA,Over the sea,Vodafone Malta Maritime,0,0.0,False,,
NORMC,Over the sea,MCP,0,0.0,False,,
BMU01,Over the sea,Telecom,0,10.0,False,,
AAMOM,Over the sea,Monaco maritime Services,0,0.0,False,,
ITAGT,Over the sea,Telecom Italia,0,0.0,False,,
PAKMK,Pakistan,Mobilink,0,0.02,False,Access fee,Access fee
PAKTP,Pakistan,Telenor Pakistan,0,0.0,False,services not available,services not available
PAKPL,Pakistan,Paktel Limited,0,0.0,False,data not launched,data not launched
PAKUF,Pakistan,Ufone,0,0.0,False,,
PSEJE,Palestine,Jawwal (Paltel),0,0.054,False,,
PSEWM,Palestine,Wataniya Palestine Mobile,0,0.09,False,,
PANMS,Panama,Movistar,0,0.06,False,Access fee,Access fee 
PANDC,Panama,Digicel,0,0.1,False,Access fee,Access fee
PANCW,Panama,Cable & Wireless Panama,0,0.5,False,,
PANCL,Panama,Claro,0,0.06,False,"no permanent roaming, no resell on domestic market","No resell on domestic market, no permanent roaming"
PNGDP,Papua New Guinea,Digicel PNG,0,0.5,False,,
PRYHT,Paraguay,Claro,0,0.06,False,"no permanent roaming, no resell on domestic market","No resell on domestic market, no permanent roaming"
PRYVX,Paraguay,Vox,0,0.0,False,data not launched,data not launched
PRYTC,Paraguay,Telecel (Millicom),0,0.012,False,Access fee,Access fee
PERMO,Peru,Telefonica,0,0.06,False,Access fee,Access fee
PERTM,Peru,Claro Peru,0,0.06,False,"no permanent roaming, no resell on domestic market","No resell on domestic market, no permanent roaming"
PERN3,Peru,Entel,0,0.0,False,,
PHLGT,Philippines,Globe Telecom,0,0.1,False,,
PHLSR,Philippines,Smart,0,0.06,False,,
POL02,Poland,T-Mobile,0,30.0,True,prohibited network,prohibited network
POL03,Poland,Orange,0,0.01,False,Access fee,Access fee
POLKM,Poland,Plus Gsm,0,0.006,False,,
POLP4,Poland,P4,0,0.01,False,,
PRTOP,Portugal,Optimus,0,0.01,False,,
PRTTL,Portugal,Vodafone,0,0.006,False,,
PRTTM,Portugal,TMN,0,0.01,False,,
PRICL,Puerto Rico,Puerto Rico Tele Company CLARO,0,0.1,False,"no permanent roaming, no resell on domestic market","No resell on domestic market, no permanent roaming"
QATB1,Qatar,Vodafone,0,0.06,False,,
QATQT,Qatar,Ooredoo,0,0.06,False,,
FRARE,Reunion,SFR,0,0.01,False,,
ROMCS,Romania,Cosmote,0,30.0,True,prohibited network,prohibited network
ROM05,Romania,RCS-RDS Digimobil,0,0.01,False,,
ROMMF,Romania,Vodafone,0,0.01,False,,
ROMMR,Romania,Orange Romania,0,0.006,False,Access fee,Access fee
RUS01,Russia,MTS,0,0.06,False,,
RUST2,Russia,Tele2,0,0.02,False,,
RUSEC,Russia,MOTIV,0,0.0,False,,
RUSBD,Russia,BeeLine,0,0.02,False,Access fee,Access fee
RUSNW,Russia,MegaFon,0,30.0,True,prohibited network,prohibited network
RWAAR,Rwanda,Airtel Rwanda Limited,0,0.5,False,,
RWAMN,Rwanda,Rwandacell,0,0.1,False,,
RWATG,Rwanda,Tigo,0,0.4,False,,
33333,Saint Barthelemy,333333,0,0.0,False,,
KNACW,Saint Kitts and Nevis,Cable & Wireless,0,0.1,False,,
LCACW,Saint Lucia,Cable & Wireless,0,0.1,False,,
44444,Saint Martin,444444,0,0.0,False,,
VCTCW,Saint Vincent and the Grenadines,Cable & Wireless,0,0.1,False,,
WSMDP,Samoa,Digicel,0,0.0,False,services not available,services not available
STPST,Sao Tome and Principe,CST,0,30.0,False,,
STPUT,Sao Tome and Principe,Unitel,0,6.0,False,,
SAUET,Saudi Arabia,Mobily,0,0.075,False,,
SAUZN,Saudi Arabia,Zain MTC,0,0.075,False,,
SAUAJ,Saudi Arabia,Al Jawwal,0,30.0,True,prohibited network,prohibited network
SENSG,Senegal,Sentel GSM,0,0.1,False,,
YUGTS,Serbia Republic of,Telekom Srbija (m:ts),0,0.0,False,,
SRBNO,Serbia Republic of,Vip,0,0.06,False,,
YUGMT,Serbia Republic of,Telenor,0,0.006,False,,
SYCAT,Seychelles,Airtel,0,0.0,False,,
SYCCW,Seychelles,Cable & Wireless (Seychelles),0,0.0,False,,
SLEAC,Sierra Leone,AFR LINTEL,0,0.0,False,,
SLECT,Sierra Leone,Orange,0,0.0,False,,
SGPM1,Singapore,M1,0,0.06,False,,
SGPSH,Singapore,StarHub,0,0.06,False,,
SGPST,Singapore,SingTel Mobile,0,0.06,False,,
ANTTC,Sint Maarten,TelCell,0,1.0,False,,
SVKGT,Slovakia,Orange,0,0.006,False,Access fee,Access fee
SVKO2,Slovakia,"Telefonica Slovakia, s.r.o",0,0.01,False,,
SVKET,Slovakia,Telekom,0,30.0,True,prohibited network,prohibited network
SVNMT,Slovenia,Mobitel,0,0.006,False,,
SVNSM,Slovenia,SI.Mobil,0,0.01,False,,
SVNVG,Slovenia,Telemach Mobil,0,0.01,False,,
SOM01,Somalia,Telesom,0,0.0,False,data not launched,data not launched
SOMGT,Somalia,Golis Telecom,0,0.0,False,data not launched,data not launched
ZAFMN,South Africa,MTN,0,0.02,False,,
ZAFVC,South Africa,Vodafone,0,0.03,False,,
ZAFCC,South Africa,Cell C,0,0.0,False,,
SSDMN,South Sudan,MTN,0,0.02,False,,
ESPAT,Spain,Vodafone,0,0.01,False,,
ESPRT,Spain,Orange,0,0.006,False,Access fee,Access fee
ESPTE,Spain,Telefonica,0,0.01,False,Access fee,Access fee
ESPXF,Spain,MasMovil,0,0.01,False,,
LKA71,Sri Lanka,Mobitel,0,0.06,False,,
LKACT,Sri Lanka,Etisalat,0,0.2,False,,
LKAHT,Sri Lanka,Hutchison,0,0.2,False,,
LKADG,Sri Lanka,Dialog Gsm,0,0.02,False,Access fee,Access fee
SDNBT,Sudan,MTN Sudan,0,0.1,False,,
SUDMO,Sudan,zain SD,0,0.0,False,,
SURDC,Suriname,Digicel,0,0.1,False,Access fee,Access fee
SURTG,Suriname,Telesur,0,0.0,False,,
SWEIQ,Sweden,Sweden,0,0.0,False,direct roaming,direct roaming
CHEOR,Switzerland,Salt Mobile (Orange),0,0.06,False,,
CHEDX,Switzerland,Sunrise,0,0.02,False,Access fee,Access fee
CHEC1,Switzerland,"Swisscom, Swissom FL",0,0.02,False,,
SYR01,Syrian Arab Republic,Syriatel,0,0.0,False,services not available,services not available
TWNTG,Taiwan,Taiwan Star Telecom,0,0.0,False,,
TWNFE,Taiwan,Far EasTone,0,0.06,False,,
TWNLD,Taiwan,Chunghwa Telecom,0,0.06,False,,
TWNPC,Taiwan,Taiwan Mobile,0,0.06,False,,
TJK91,Tajikistan,Tacom,0,0.06,False,,
TJKBM,Tajikistan,Babilon-Mobile,0,0.1,False,,
TJKIT,Tajikistan,Indigo Gsm,0,0.06,False,,
TZACT,Tanzania United Republic of,Airtel,0,0.45,False,,
TZAMB,Tanzania United Republic of,MIC Tanzania,0,0.09,False,,
TZAYA,Tanzania United Republic of,Smart,0,0.45,False,,
TZAVC,Tanzania United Republic of,Vodacom,0,0.0,False,,
THACA,Thailand,Real Future,0,0.05,False,,
THACT,Thailand,Real Future,0,0.05,False,,
THADT,Thailand,dtac,0,0.05,False,,
THAWN,Thailand,TH AIS,0,0.05,False,,
THAWP,Thailand,DTAC,0,0.05,False,,
TGOTC,Togo,Togo Cellulaire,0,0.5,False,,
TGOTL,Togo,Moov (Telecel),0,0.0,True,prohibited network,prohibited network
TONDP,Tonga,Digicel Tonga,0,0.5,False,,
TTODL,Trinidad and Tobago,Digicel,0,0.1,False,Access fee,Access fee
TTO12,Trinidad and Tobago,TSTT,0,0.0,False,,
TUNOR,Tunisia,Orange,0,0.06,False,,
TUNTA,Tunisia,Ooredoo,0,0.05,False,,
TUNTT,Tunisia,Tunicell,0,0.0,False,,
TURIS,Turkey,AVEA,0,0.06,False,no permanent roaming,no permanent roaming
TURTC,Turkey,Turkcell,0,0.06,False,no permanent roaming,no permanent roaming
TURTS,Turkey,Vodafone,0,0.06,False,no permanent roaming,no permanent roaming
TKMAA,Turkmenistan,TM Cell,0,0.0,False,services not available,services not available
TCACW,Turks and Caicos Islands,Cable & Wireless,0,0.1,False,,
UGACE,Uganda,Airtel Uganda,0,0.5,False,,
UGAMN,Uganda,MTN,0,0.02,False,,
UGASU,Uganda,Smart,0,0.2,False,,
UGATL,Uganda,UTL,0,0.0,False,data not launched,data not launched
UKRAS,Ukraine,Life:-),0,0.02,False,,
UKRUM,Ukraine,Vodafone (MTS),0,0.1,False,,
UKRKS,Ukraine,Kyivstar,0,0.02,False,Access fee,Access fee
AREDU,United Arab Emirates,DU,0,30.0,False,no permanent roaming,no permanent roaming
ARETC,United Arab Emirates,Etisalat,0,0.05,False,no permanent roaming,no permanent roaming
GBRCN,United Kingdom,O2 UK,0,0.01,False,Access fee,Access fee
GBRVF,United Kingdom,Vodafone,0,0.01,False,,
GBRHU,United Kingdom,Hutchison 3G,0,0.006,False,Access fee,Access fee
GBRME,United Kingdom,T-Mobile,0,0.01,False,Access fee,Access fee
GBROR,United Kingdom,Orange,0,0.01,False,Access fee,Access fee
USAVZ,United States,Verizon Wireless,0,0.0,False,Network blocked,Network blocked
USATL,United States,Telecom North America Mobile Inc.,0,0.0,False,data not launched,data not launched
USACG,United States,AT&T,0,0.0045,False,Separate addendum - Permitted Resellers list,Separate addendum - Permitted Resellers list
USAW6,United States,T-Mobile Denver,0,0.0045,False,Separate addendum - all IoT deployments should be agreed by TMUS,Separate addendum - all IoT deployments should be agreed by TMUS
URYAM,Uruguay,Claro (CTI),0,0.1,False,"no permanent roaming, no resell on domestic market","No resell on domestic market, no permanent roaming"
URYTM,Uruguay,Movistar,0,0.0,False,,
UZB00,Uzbekistan,UzMobile,0,0.0,False,,
UZB05,Uzbekistan,Ucell,0,0.0,False,,
UZB07,Uzbekistan,UMS LLC,0,0.0,False,,
UZBDU,Uzbekistan,Beeline Uz,0,0.02,False,Access fee,Access fee
VUTDP,Vanuatu,Digicel Vanuatu,0,0.5,False,,
VENMS,Venezuela,Movistar,0,0.2,False,,
VENMV,Venezuela,Movilnet,0,0.0,False,,
VNMBL,Vietnam,Beeline Vietnam,0,0.1,False,,
VNMMO,Vietnam,Vms Mobifon,0,0.1,False,,
VNMVI,Vietnam,Vinaphone,0,0.1,False,,
VNMVT,Vietnam,Viettel,0,0.1,False,,
YEMSP,Yemen,Spacetel,0,0.05,False,,
YEMSA,Yemen,SabaFon,0,0.0,False,,
YEMYY,Yemen,Y,0,0.0,False,data not launched,data not launched
ZMB02,Zambia,MTN,0,0.02,False,,
ZMBCE,Zambia,Airtel,0,0.45,False,,
ZMBCZ,Zambia,Zamtel,0,0.4,False,,
ZWEET,Zimbabwe,Econet,0,0.0,False,data not launched,data not launched
ZWEN1,Zimbabwe,NetOne,0,1.0,False,,
ZWEN3,Zimbabwe,TELECEL,0,0.2,False,,
